Ticker,Data,Empresa,RL,LL,EBITDA,AnnounceDate,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise,QuarterEnd,RL_MET,RL_Q_Change,RL_Y_Change,LL_MET,LL_Q_Change,LL_Y_Change,EBITDA_MET,EBITDA_Q_Change,EBITDA_Y_Change,Preco_Abertura_MET,Preco_Abertura_Q_Change,Preco_Abertura_Y_Change,Preco_Fechamento_MET,Preco_Fechamento_Q_Change,Preco_Fechamento_Y_Change,LPA_MET,LPA_Q_Change,LPA_Y_Change,ROA_MET,ROA_Q_Change,ROA_Y_Change,ROE_MET,ROE_Q_Change,ROE_Y_Change,MEB_MET,MEB_Q_Change,MEB_Y_Change,CRESC_RL_12M_MET,CRESC_RL_12M_Q_Change,CRESC_RL_12M_Y_Change,CRESC_LL_12M_MET,CRESC_LL_12M_Q_Change,CRESC_LL_12M_Y_Change,CRESC_EBITDA_12M_MET,CRESC_EBITDA_12M_Q_Change,CRESC_EBITDA_12M_Y_Change,CAPEX_MET,CAPEX_Q_Change,CAPEX_Y_Change,FCO_MET,FCO_Q_Change,FCO_Y_Change,FCF_MET,FCF_Q_Change,FCF_Y_Change,Divida_Liquida_MET,Divida_Liquida_Q_Change,Divida_Liquida_Y_Change,PL_MET,PL_Q_Change,PL_Y_Change,Divida_Bruta_MET,Divida_Bruta_Q_Change,Divida_Bruta_Y_Change,AT_MET,AT_Q_Change,AT_Y_Change,DVA_Despesas_Fin_MET,DVA_Despesas_Fin_Q_Change,DVA_Despesas_Fin_Y_Change,PC_MET,PC_Q_Change,PC_Y_Change,PNC_MET,PNC_Q_Change,PNC_Y_Change,Outros_PC_MET,Outros_PC_Q_Change,Outros_PC_Y_Change,LUB_MET,LUB_Q_Change,LUB_Y_Change,EPS_EarningsSurprise,EPS_Earnings_Surprise_Backward_Diff,EPS_Earnings_Surprise_Backward_Ave_Diff
ABEV3,2012-06-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,2012-07-02,2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV3,2012-09-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,2012-10-01,2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV3,2012-12-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,2013-01-02,2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV3,2013-03-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,2013-04-01,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV3,2013-06-30,AMBEV S/A,,,,2013-10-31,,,,,,,,,,,,,,39556.681,,58739.269,,10060.018,9122.57,1380.137,,consolidado,IFRS,BRL,2013-06-30,0,2013-07-01,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39556.681,,,,,,58739.269,,,,,,10060.018,,,9122.57,,,1380.137,,,,,,,,
ABEV3,2013-09-30,AMBEV S/A,,,,2013-10-31,,,,,,,,,,,,,,39685.599,,59618.974,,10544.78,9388.595,1197.659,,consolidado,IFRS,BRL,2013-09-30,0,2013-10-01,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39685.599,128.91800000000512,,,,,59618.974,879.7050000000017,,,,,10544.78,484.7620000000006,,9388.595,266.02499999999964,,1197.659,-182.47799999999984,,,,,,,
ABEV3,2013-12-31,AMBEV S/A,34791.391,11354.07,17382.926,2014-03-24,17.3,17.39,0.725827763936,16.5332831329,25.8062306321,49.9632969547,,24332.592369,,,15245.896,-9385.263,-8680.382,43997.398,2894.055,68674.019,,17180.582,7496.039,4224.941,23393.59,consolidado,IFRS,BRL,2013-12-31,12,2014-01-02,2013-12-31,34791.391,,,11354.07,,,17382.926,,,17.3,,,17.39,,,0.725827763936,,,16.5332831329,,,25.8062306321,,,49.9632969547,,,,,,24332.592369,,,,,,,,,15245.896,,,-9385.263,,,-8680.382,,,43997.398,4311.798999999999,,2894.055,,,68674.019,9055.044999999998,,,,,17180.582,6635.801999999998,,7496.039,-1892.5559999999996,,4224.941,3027.2819999999997,,23393.59,,,,,
ABEV3,2014-03-31,AMBEV S/A,,,,2014-05-07,16.91,17.1,,,,,,,,,,,,40105.567,,63297.044,,16170.391,7021.086,4753.495,,consolidado,IFRS,BRL,2014-03-31,0,2014-04-01,2014-03-31,,,,,,,,,,16.91,-0.39000000000000057,,17.1,-0.28999999999999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40105.567,-3891.8309999999983,,,,,63297.044,-5376.9749999999985,,,,,16170.391,-1010.1909999999989,,7021.086,-474.9529999999995,,4753.495,528.5540000000001,,,,,,,
ABEV3,2014-06-30,AMBEV S/A,,,,2014-07-31,15.78,16.03,,,,,,,,,,,,41948.603,,62989.043,,14456.702,6583.738,3437.598,,consolidado,IFRS,BRL,2014-06-30,0,2014-07-01,2014-06-30,,,,,,,,,,15.78,-1.1300000000000008,,16.03,-1.0700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41948.603,1843.036,2391.922000000006,,,,62989.043,-308.00100000000384,4249.773999999998,,,,14456.702,-1713.6890000000003,4396.683999999999,6583.738,-437.34799999999996,-2538.8319999999994,3437.598,-1315.897,2057.4610000000002,,,,,,
ABEV3,2014-09-30,AMBEV S/A,,,,2014-10-31,15.85,15.6,,,,,,,,,,,,43624.1,,65125.922,,14590.587,6911.235,3905.387,,consolidado,IFRS,BRL,2014-09-30,0,2014-10-01,2014-09-30,,,,,,,,,,15.85,0.07000000000000028,,15.6,-0.4300000000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43624.1,1675.4969999999958,3938.5009999999966,,,,65125.922,2136.879000000001,5506.947999999997,,,,14590.587,133.88500000000022,4045.806999999999,6911.235,327.4969999999994,-2477.3599999999997,3905.387,467.7890000000002,2707.728,,,,,,
ABEV3,2014-12-31,AMBEV S/A,38079.786,12362.019,18117.273,2015-02-26,16.14,16.01,0.786778263161,17.1353897331,28.3242358878,47.5771397455,9.4517491,8.8774246,4.2245304,,15895.673,-13143.763,-7812.402,43644.669,2622.623,72143.203,,21824.783,6673.751,7846.705,25265.198,consolidado,IFRS,BRL,2014-12-31,12,2015-01-02,2014-12-31,38079.786,,3288.394999999997,12362.019,,1007.9490000000005,18117.273,,734.3470000000016,16.14,0.2900000000000009,-1.1600000000000001,16.01,0.4100000000000019,-1.379999999999999,0.786778263161,,0.060950499224999954,17.1353897331,,0.6021066001999991,28.3242358878,,2.5180052557000003,47.5771397455,,-2.3861572092000003,9.4517491,,,8.8774246,,-24323.714944400002,4.2245304,,,,,,15895.673,,649.777,-13143.763,,-3758.5,-7812.402,,867.9799999999996,43644.669,20.569000000003143,-352.72899999999936,2622.623,,-271.4319999999998,72143.203,7017.280999999995,3469.183999999994,,,,21824.783,7234.196,4644.201000000001,6673.751,-237.48399999999947,-822.2879999999996,7846.705,3941.3179999999998,3621.764,25265.198,,1871.6080000000002,,,
ABEV3,2015-03-31,AMBEV S/A,39803.507,12728.061,19135.185,2015-05-06,18.65,18.88,0.809999410068,16.9478830461,27.6022619,48.0741181927,,5.435965,,,17549.837,,-5317.3,46112.384,2691.043,75101.185,,21767.886,7220.915,8775.508,26383.425,consolidado,IFRS,BRL,2015-03-31,12,2015-04-01,2015-03-31,39803.507,1723.7209999999977,,12728.061,366.04199999999946,,19135.185,1017.9120000000003,,18.65,2.509999999999998,1.7399999999999984,18.88,2.8699999999999974,1.7799999999999976,0.809999410068,0.023221146907000056,,16.9478830461,-0.18750668699999906,,27.6022619,-0.721973987800002,,48.0741181927,0.49697844720000006,,,,,5.435965,-3.441459599999999,,,,,,,,17549.837,1654.1639999999989,,,,,-5317.3,2495.102,,46112.384,2467.7149999999965,6006.8169999999955,2691.043,68.42000000000007,,75101.185,2957.9820000000036,11804.140999999996,,,,21767.886,-56.897000000000844,5597.494999999999,7220.915,547.1639999999998,199.82899999999972,8775.508,928.8029999999999,4022.013,26383.425,1118.226999999999,,0.023221146907000056,,
ABEV3,2015-06-30,AMBEV S/A,41536.076,13103.296,19684.584,2015-07-30,19.05,19.1,0.834750097915,17.6034008846,28.531456009,47.3915350116,,0.0482096,,,18810.398,,-5010.335,45925.788,2666.013,74436.162,,20728.313,7782.061,8513.803,27382.01,consolidado,IFRS,BRL,2015-06-30,12,2015-07-01,2015-06-30,41536.076,1732.5690000000031,,13103.296,375.2350000000006,,19684.584,549.3989999999976,,19.05,0.40000000000000213,3.2700000000000014,19.1,0.22000000000000242,3.0700000000000003,0.834750097915,0.024750687846999964,,17.6034008846,0.6555178384999998,,28.531456009,0.9291941090000009,,47.3915350116,-0.6825831811,,,,,0.0482096,-5.3877554000000005,,,,,,,,18810.398,1260.5610000000015,,,,,-5010.335,306.96500000000015,,45925.788,-186.59599999999773,3977.1849999999977,2666.013,-25.0300000000002,,74436.162,-665.023000000001,11447.118999999999,,,,20728.313,-1039.5730000000003,6271.610999999999,7782.061,561.1459999999997,1198.3229999999994,8513.803,-261.7049999999999,5076.205,27382.01,998.5849999999991,,0.024750687846999964,0.0015295409399999071,
ABEV3,2015-09-30,AMBEV S/A,43656.8,13279.693,20569.756,2015-10-30,19.41,19.7,0.846927244398,15.0831603945,26.3995509746,47.1169577248,,-2.5048393,,,21364.877,,-7414.073,50302.723,2985.521,88043.173,,28055.75,9684.7,13925.793,28714.581,consolidado,IFRS,BRL,2015-09-30,12,2015-10-01,2015-09-30,43656.8,2120.724000000002,,13279.693,176.39699999999903,,20569.756,885.1720000000023,,19.41,0.35999999999999943,3.5600000000000005,19.7,0.5999999999999979,4.1,0.846927244398,0.012177146483000056,,15.0831603945,-2.520240490099999,,26.3995509746,-2.131905034399999,,47.1169577248,-0.27457728679999605,,,,,-2.5048393,-2.5530489,,,,,,,,21364.877,2554.4789999999994,,,,,-7414.073,-2403.7380000000003,,50302.723,4376.934999999998,6678.623,2985.521,319.50800000000027,,88043.173,13607.010999999999,22917.250999999997,,,,28055.75,7327.437000000002,13465.163,9684.7,1902.639000000001,2773.465000000001,13925.793,5411.99,10020.405999999999,28714.581,1332.571,,0.012177146483000056,-0.012573541363999907,
ABEV3,2015-12-31,AMBEV S/A,46720.141,12879.141,21741.961,2016-02-25,17.73,17.21,0.821107033213,14.2821899171,25.5875450119,46.536591146,22.6901354,4.1831516,20.0068079,,23580.946,-15327.939,-10235.791,50333.633,3599.476,90176.234,,30141.913,9700.688,12369.46,30658.77,consolidado,IFRS,BRL,2015-12-31,12,2016-01-04,2015-12-31,46720.141,3063.3410000000003,8640.355000000003,12879.141,-400.5519999999997,517.1219999999994,21741.961,1172.204999999998,3624.6879999999983,17.73,-1.6799999999999997,1.5899999999999999,17.21,-2.4899999999999984,1.1999999999999993,0.821107033213,-0.025820211184999997,0.03432877005200008,14.2821899171,-0.8009704773999999,-2.8531998159999983,25.5875450119,-0.8120059626999989,-2.736690875899999,46.536591146,-0.5803665788000032,-1.0405485994999992,22.6901354,,13.238386299999998,4.1831516,6.687990900000001,-4.694272999999999,20.0068079,,15.7822775,,,,23580.946,2216.0689999999995,7685.272999999999,-15327.939,,-2184.1759999999995,-10235.791,-2821.717999999999,-2423.388999999999,50333.633,30.910000000003492,6688.964,3599.476,613.9549999999999,976.8530000000001,90176.234,2133.0610000000015,18033.031000000003,,,,30141.913,2086.1630000000005,8317.130000000001,9700.688,15.987999999999374,3026.937,12369.46,-1556.3330000000005,4522.754999999999,30658.77,1944.1890000000021,5393.572,-0.025820211184999997,-0.037997357668000054,
ABEV3,2016-03-31,AMBEV S/A,47516.446,12810.291,21920.665,2016-05-04,18.53,18.86,0.816226741491,15.9633742965,26.1327280688,46.1327957903,19.3775363,0.6460528,14.5568491,,18133.934,,-2256.549,49020.106,3959.84,80248.015,,21904.014,9323.895,7438.442,31108.567,consolidado,IFRS,BRL,2016-03-31,12,2016-04-01,2016-03-31,47516.446,796.3050000000003,7712.939000000006,12810.291,-68.85000000000036,82.22999999999956,21920.665,178.70400000000154,2785.4799999999996,18.53,0.8000000000000007,-0.11999999999999744,18.86,1.6499999999999986,-0.019999999999999574,0.816226741491,-0.004880291721999996,0.0062273314230000265,15.9633742965,1.6811843793999994,-0.9845087495999998,26.1327280688,0.5451830568999974,-1.4695338311999997,46.1327957903,-0.403795355699998,-1.9413224023999973,19.3775363,-3.3125991,,0.6460528,-3.5370988000000003,-4.789912200000001,14.5568491,-5.449958799999997,,,,,18133.934,-5447.011999999999,584.0970000000016,,,,-2256.549,7979.241999999999,3060.751,49020.106,-1313.5270000000019,2907.7220000000016,3959.84,360.36400000000003,1268.797,80248.015,-9928.218999999997,5146.830000000002,,,,21904.014,-8237.899000000001,136.1280000000006,9323.895,-376.79299999999967,2102.9800000000005,7438.442,-4931.017999999999,-1337.0659999999998,31108.567,449.79699999999866,4725.142,-0.004880291721999996,0.020939919463,
ABEV3,2016-06-30,AMBEV S/A,47983.648,12391.971,22233.418,2016-07-29,19.08,19.22,0.789373486837,16.1655394246,26.90244556,46.3354057616,15.5228241,-5.428596,12.9483763,,16343.699,,-2360.224,46062.619,3633.324,76656.712,,21894.846,8699.247,9618.667,31455.814,consolidado,IFRS,BRL,2016-06-30,12,2016-07-01,2016-06-30,47983.648,467.2019999999975,6447.572,12391.971,-418.3199999999997,-711.3250000000007,22233.418,312.7530000000006,2548.8340000000026,19.08,0.5499999999999972,0.029999999999997584,19.22,0.35999999999999943,0.11999999999999744,0.789373486837,-0.026853254654000014,-0.04537661107799995,16.1655394246,0.20216512809999898,-1.4378614600000006,26.90244556,0.7697174912000015,-1.629010448999999,46.3354057616,0.20260997129999936,-1.056129249999998,15.5228241,-3.8547122,,-5.428596,-6.074648799999999,-5.4768056,12.9483763,-1.6084728000000013,,,,,16343.699,-1790.2350000000006,-2466.6990000000005,,,,-2360.224,-103.67500000000018,2650.111,46062.619,-2957.487000000001,136.8309999999983,3633.324,-326.5160000000001,967.3110000000001,76656.712,-3591.303,2220.550000000003,,,,21894.846,-9.167999999997846,1166.533000000003,8699.247,-624.648000000001,917.1859999999997,9618.667,2180.2249999999995,1104.8639999999996,31455.814,347.2469999999994,4073.804,-0.026853254654000014,-0.021972962932000017,-0.04690291506633337
ABEV3,2016-09-30,AMBEV S/A,47721.316,12508.179,21244.218,2016-10-28,19.71,19.75,0.796719953186,15.8110833147,25.441785358,44.5172509492,9.3101556,-5.8097277,3.2789013,,15399.529,,-3350.398,49163.92,4209.396,79110.196,,21877.422,8068.854,7769.344,30721.936,consolidado,IFRS,BRL,2016-09-30,12,2016-10-03,2016-09-30,47721.316,-262.33200000000215,4064.515999999996,12508.179,116.20800000000054,-771.5139999999992,21244.218,-989.2000000000007,674.4619999999995,19.71,0.6300000000000026,0.3000000000000007,19.75,0.5300000000000011,0.05000000000000071,0.796719953186,0.007346466348999936,-0.05020729121200007,15.8110833147,-0.3544561098999992,0.7279229201999993,25.441785358,-1.4606602019999997,-0.9577656165999997,44.5172509492,-1.818154812400003,-2.599706775600005,9.3101556,-6.2126684999999995,,-5.8097277,-0.3811317000000001,-3.3048884,3.2789013,-9.669475,,,,,15399.529,-944.1700000000001,-5965.348,,,,-3350.398,-990.174,4063.675,49163.92,3101.3009999999995,-1138.8029999999999,4209.396,576.0719999999997,1223.8749999999995,79110.196,2453.4839999999967,-8932.976999999999,,,,21877.422,-17.424000000002707,-6178.328000000001,8068.854,-630.3929999999991,-1615.8460000000005,7769.344,-1849.3229999999994,-6156.449,30721.936,-733.877999999997,2007.3550000000032,0.007346466348999936,0.03419972100299995,0.003643925300666595
ABEV3,2016-12-31,AMBEV S/A,45602.561,13083.397,20496.518,2018-07-05,16.34,16.31,0.833278846715,15.6049328746,28.0451017918,44.9459801172,-2.3920733,1.5859443,-5.7282919,,12344.513,-11645.142,-2763.31,46651.273,5396.31,83841.418,,28773.65,8416.495,10212.356,28924.602,consolidado,IFRS,BRL,2016-12-31,12,2017-01-02,2016-12-31,45602.561,-2118.7549999999974,-1117.5800000000017,13083.397,575.2180000000008,204.25600000000122,20496.518,-747.7000000000007,-1245.4429999999993,16.34,-3.370000000000001,-1.3900000000000006,16.31,-3.4400000000000013,-0.9000000000000021,0.833278846715,0.03655889352899999,0.012171813501999917,15.6049328746,-0.20615044010000005,1.3227429574999992,28.0451017918,2.6033164338,2.457556779899999,44.9459801172,0.4287291680000038,-1.590611028799998,-2.3920733,-11.7022289,-25.0822087,1.5859443,7.395671999999999,-2.5972073000000004,-5.7282919,-9.0071932,-25.7350998,,,,12344.513,-3055.0159999999996,-11236.432999999999,-11645.142,,3682.7970000000005,-2763.31,587.0880000000002,7472.481,46651.273,-2512.646999999997,-3682.3600000000006,5396.31,1186.9140000000007,1796.8340000000003,83841.418,4731.222000000009,-6334.815999999992,,,,28773.65,6896.228000000003,-1368.262999999999,8416.495,347.64100000000053,-1284.1929999999993,10212.356,2443.0119999999997,-2157.1039999999994,28924.602,-1797.3340000000026,-1734.1680000000015,0.03655889352899999,0.029212427180000056,0.0427333456703333
ABEV3,2017-03-31,AMBEV S/A,45279.268,12479.235,19570.312,2017-05-04,18.2,18.0,0.794708888504,15.457234827,25.6347806252,43.22135243,-4.7082183,-2.5842973,-10.722088,,16543.827,,-2107.236,48680.873,5132.928,80733.942,,23904.354,8148.715,7753.211,28038.484,consolidado,IFRS,BRL,2017-03-31,12,2017-04-03,2017-03-31,45279.268,-323.2930000000051,-2237.178000000007,12479.235,-604.1620000000003,-331.0559999999987,19570.312,-926.2059999999983,-2350.352999999999,18.2,1.8599999999999994,-0.33000000000000185,18.0,1.6900000000000013,-0.8599999999999994,0.794708888504,-0.038569958210999955,-0.02151785298700004,15.457234827,-0.14769804759999872,-0.506139469499999,25.6347806252,-2.4103211665999993,-0.49794744359999754,43.22135243,-1.7246276871999981,-2.911443360299998,-4.7082183,-2.3161450000000006,-24.0857546,-2.5842973,-4.1702416,-3.2303501,-10.722088,-4.993796099999999,-25.2789371,,,,16543.827,4199.314,-1590.107,,,,-2107.236,656.0740000000001,149.3130000000001,48680.873,2029.5999999999985,-339.2330000000002,5132.928,-263.3820000000005,1173.0879999999997,80733.942,-3107.4760000000097,485.92699999999604,,,,23904.354,-4869.296000000002,2000.3400000000001,8148.715,-267.78000000000065,-1175.1800000000003,7753.211,-2459.1449999999995,314.76900000000023,28038.484,-886.1179999999986,-3070.0829999999987,-0.038569958210999955,-0.07512885173999995,-0.019385372357333286
ABEV3,2017-06-30,AMBEV S/A,45170.017,12431.547,19298.017,2017-07-27,18.36,18.28,0.791456529169,14.7776441615,24.9970471765,42.7230678262,-5.8637288,0.3193681,-13.2026529,,16886.584,,-3848.476,49732.062,4917.636,84124.011,,26015.981,8375.968,10722.792,27775.649,consolidado,IFRS,BRL,2017-06-30,12,2017-07-03,2017-06-30,45170.017,-109.25099999999657,-2813.631000000001,12431.547,-47.6880000000001,39.57600000000093,19298.017,-272.2950000000019,-2935.4010000000017,18.36,0.16000000000000014,-0.7199999999999989,18.28,0.28000000000000114,-0.9399999999999977,0.791456529169,-0.00325235933500001,0.0020830423319999625,14.7776441615,-0.679590665500001,-1.387895263099999,24.9970471765,-0.6377334487000006,-1.9053983834999997,42.7230678262,-0.49828460380000195,-3.6123379353999994,-5.8637288,-1.1555104999999992,-21.386552899999998,0.3193681,2.9036654,5.7479641,-13.2026529,-2.480564900000001,-26.1510292,,,,16886.584,342.7569999999978,542.8849999999984,,,,-3848.476,-1741.2400000000002,-1488.252,49732.062,1051.1889999999985,3669.4429999999993,4917.636,-215.29199999999946,1284.3120000000004,84124.011,3390.069000000003,7467.298999999999,,,,26015.981,2111.6270000000004,4121.134999999998,8375.968,227.2530000000006,-323.27899999999863,10722.792,2969.580999999999,1104.125,27775.649,-262.8349999999991,-3680.1649999999972,-0.00325235933500001,0.035317598875999945,0.004876667340666682
ABEV3,2017-09-30,AMBEV S/A,46049.532,9384.888,19832.511,2017-10-26,20.92,20.7,0.597466089655,11.3043124341,19.1764400248,43.0677797116,-3.5032228,-24.9699896,-6.6451352,,16905.978,,-5018.897,48939.678,3329.611,83020.423,,23481.745,10599.0,8198.771,28388.501,consolidado,IFRS,BRL,2017-09-30,12,2017-10-02,2017-09-30,46049.532,879.5149999999994,-1671.7839999999997,9384.888,-3046.6589999999997,-3123.2909999999993,19832.511,534.4939999999988,-1411.7070000000022,20.92,2.5600000000000023,1.2100000000000009,20.7,2.419999999999998,0.9499999999999993,0.597466089655,-0.19399043951399997,-0.19925386353099994,11.3043124341,-3.4733317273999997,-4.5067708805999995,19.1764400248,-5.820607151699999,-6.265345333199999,43.0677797116,0.3447118853999953,-1.449471237600001,-3.5032228,2.3605059999999995,-12.8133784,-24.9699896,-25.2893577,-19.160261900000002,-6.6451352,6.5575177,-9.9240365,,,,16905.978,19.394000000000233,1506.4489999999987,,,,-5018.897,-1170.4209999999998,-1668.4989999999998,48939.678,-792.3839999999982,-224.24199999999837,3329.611,-1588.0250000000005,-879.7849999999999,83020.423,-1103.5880000000034,3910.226999999999,,,,23481.745,-2534.236000000001,1604.3230000000003,10599.0,2223.0319999999992,2530.1459999999997,8198.771,-2524.020999999999,429.4270000000006,28388.501,612.851999999999,-2333.4350000000013,-0.19399043951399997,-0.19073808017899996,-0.1996744745886666
