EventTradeDate,Ticker,CAR_30D,ret_t0_t1,CAR_t1_t30,position,pred_reg,pnl
2018-11-06,DTEX3,0.045874198059319,0.0222873443031739,0.045874198059319,-1,-0.08012152,0.045874198059319
2019-02-14,DTEX3,-0.1027637319205375,0.0008179959550846,-0.1027637319205375,-1,-0.0589284,-0.1027637319205375
2019-05-07,DTEX3,-0.0388463887816103,-0.0169411126879734,-0.0388463887816103,1,-0.046543285,0.0388463887816103
2019-08-01,DTEX3,0.0354484299793685,0.0259142887658485,0.0354484299793685,-1,0.04390778,-0.0354484299793685
2019-10-30,DTEX3,0.096665450404939,0.0076045993847064,0.096665450404939,-1,-0.08541611,0.096665450404939
2017-02-21,ECOR3,0.0380084428066686,0.0423836045614496,0.0380084428066686,-1,-0.06293491,0.0380084428066686
2017-05-09,ECOR3,0.1297495258902995,0.0601217301790179,0.1297495258902995,-1,0.021187587,-0.1297495258902995
2017-07-28,ECOR3,-0.1197603500131236,-0.0249205328199848,-0.1197603500131236,1,0.029502612,-0.1197603500131236
2017-11-10,ECOR3,0.0217062899886047,-0.0166451499584562,0.0217062899886047,1,0.014053129,0.0217062899886047
2018-03-01,ECOR3,-0.05790765722237,-0.0851135859896267,-0.05790765722237,1,-0.08913598,0.05790765722237
2018-04-26,ECOR3,-0.0123027623236488,0.0052219439807356,-0.0123027623236488,-1,-0.013816683,-0.0123027623236488
2018-07-27,ECOR3,-0.024151810738964,0.0036652453973279,-0.024151810738964,-1,0.07497956,0.024151810738964
2018-10-31,ECOR3,0.0473552606419046,-0.0094787439544196,0.0473552606419046,1,-0.040166244,-0.0473552606419046
2019-03-15,ECOR3,-0.1760668253408577,-0.0284193550407759,-0.1760668253408577,1,0.0075039775,-0.1760668253408577
2019-04-30,ECOR3,0.1506180900360482,-0.0171153322192224,0.1506180900360482,1,-0.0019266631,-0.1506180900360482
2019-07-26,ECOR3,0.1421644745972881,0.0274718206650704,0.1421644745972881,-1,-0.020411018,0.1421644745972881
2019-10-30,ECOR3,0.009419132433808,0.004319661141368,0.009419132433808,-1,-0.024197089,0.009419132433808
2017-02-24,EGIE3,-0.0523065948173741,-0.0192828684945285,-0.0523065948173741,1,-0.061854154,0.0523065948173741
2017-04-26,EGIE3,-0.0050987336790881,-0.0049040917606168,-0.0050987336790881,1,0.04602961,-0.0050987336790881
2017-07-28,EGIE3,0.019085272957727,-0.0040000053367273,0.019085272957727,1,-0.01806213,-0.019085272957727
2017-10-27,EGIE3,0.0034255298377186,0.0176264546954676,0.0034255298377186,-1,-0.008381617,0.0034255298377186
2018-02-23,EGIE3,0.0087688988085255,0.0207261305188272,0.0087688988085255,-1,0.017994614,-0.0087688988085255
2018-04-20,EGIE3,0.0625493757688499,-0.0026574557223944,0.0625493757688499,1,0.020688301,0.0625493757688499
2018-08-09,EGIE3,0.0304545619478137,0.0440835368834631,0.0304545619478137,-1,-0.018150743,0.0304545619478137
2018-11-01,EGIE3,0.0901171536330293,0.0090045630938143,0.0901171536330293,-1,-0.010936266,0.0901171536330293
2019-02-20,EGIE3,-0.0107930929490599,-0.0578195708890192,-0.0107930929490599,1,-0.034456637,0.0107930929490599
2019-05-09,EGIE3,-0.0024942047395921,0.0047337366493275,-0.0024942047395921,-1,-0.057347048,-0.0024942047395921
2019-08-07,EGIE3,-0.1163467246447277,-0.0229415692411724,-0.1163467246447277,1,-0.024208782,0.1163467246447277
2019-11-06,EGIE3,0.0554956731251115,0.0010870747888842,0.0554956731251115,-1,-0.05349697,0.0554956731251115
2017-03-28,ELET3,-0.0815793323551741,-0.0368000766102207,-0.0815793323551741,1,-0.18320216,0.0815793323551741
2017-05-15,ELET3,-0.2606261077574067,-0.0260506772029037,-0.2606261077574067,1,-0.21234858,0.2606261077574067
2017-08-15,ELET3,0.309119176650064,-0.0007317965935063,0.309119176650064,1,0.11066392,0.309119176650064
2017-11-14,ELET3,-0.1093001256741584,-0.0387664953341275,-0.1093001256741584,1,0.071588606,-0.1093001256741584
2018-03-28,ELET3,-0.1692580743085688,-0.0489931617698314,-0.1692580743085688,1,0.07817829,-0.1692580743085688
2018-05-16,ELET3,-0.2044100039237126,-0.0031948908978012,-0.2044100039237126,1,0.085469544,-0.2044100039237126
2018-08-15,ELET3,0.0069143662266952,0.0112101404781248,0.0069143662266952,-1,0.08753818,-0.0069143662266952
2018-11-13,ELET3,-0.0152116838867067,-0.0209454120085342,-0.0152116838867067,1,0.08427401,-0.0152116838867067
2019-03-28,ELET3,-0.0700723379795195,0.0689132663300145,-0.0700723379795195,-1,-0.09414945,-0.0700723379795195
2019-05-14,ELET3,-0.0644703568941657,0.0661982725548153,-0.0644703568941657,-1,-0.044683397,-0.0644703568941657
2019-08-13,ELET3,-0.095713819289354,0.0143321917008246,-0.095713819289354,-1,-0.028401837,-0.095713819289354
2019-11-12,ELET3,-0.1488103465482948,-0.0485199304155381,-0.1488103465482948,1,-0.07964182,0.1488103465482948
2017-03-28,ELET6,-0.0140170285926878,-0.0114548789733294,-0.0140170285926878,1,-0.17247804,0.0140170285926878
2017-05-15,ELET6,-0.1832292138195152,-0.001413427795255,-0.1832292138195152,1,-0.19522725,0.1832292138195152
2017-08-15,ELET6,0.2332999334036736,0.0028208763433572,0.2332999334036736,-1,0.069226824,-0.2332999334036736
2017-11-14,ELET6,-0.0710850798082369,-0.0427660495624027,-0.0710850798082369,1,0.05786243,-0.0710850798082369
2018-03-28,ELET6,-0.1473708793289995,-0.0466322427828802,-0.1473708793289995,1,0.061215594,-0.1473708793289995
2018-05-16,ELET6,-0.2412032018481275,-0.0218359430779823,-0.2412032018481275,1,0.07905664,-0.2412032018481275
2018-08-15,ELET6,0.0503760905304071,0.0148150857874776,0.0503760905304071,-1,0.111211754,-0.0503760905304071
2018-11-13,ELET6,0.0297228630793664,-0.0141466706401074,0.0297228630793664,1,0.08135791,0.0297228630793664
2019-03-28,ELET6,-0.0777095405074609,0.0425012560418102,-0.0777095405074609,-1,-0.09440007,-0.0777095405074609
2019-05-14,ELET6,-0.0833547576057925,0.0399504262635445,-0.0833547576057925,-1,-0.04244755,-0.0833547576057925
2019-08-13,ELET6,-0.0143619824706367,-0.003129893008548,-0.0143619824706367,1,-0.023308715,0.0143619824706367
2019-11-12,ELET6,-0.1525516004826853,-0.0353701657527051,-0.1525516004826853,1,-0.07847032,0.1525516004826853
2017-03-10,EMBR3,-0.2112755176504603,-0.0216082188553712,-0.2112755176504603,1,-0.049595542,0.2112755176504603
2017-05-03,EMBR3,0.0895036136823422,0.0352782007728232,0.0895036136823422,-1,0.021795552,-0.0895036136823422
